data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Pão Forma Pullman 450gg Grãos Castanhas 100% Integral,Pão,Pullman,10.29,100%,SV
19/03/21,Pao Forma Wickb 370g Estar Leve Iog,Pao,Wickbold,7.78,370g,SV
19/03/21,Pao Forma Visconti 400g Tradicional,Pao,Viscoti,3.89,400g,SV
19/03/21,Pão Forma Wickbold 450g Integral,Pão,Wickbold,5.59,450g,SV
19/03/21,Pao Wickbold 300g Estar Leve Forma,Pao,Wickbold,7.78,300g,SV
19/03/21,Pao Forma Pullman 500g Artesano,Pao,Pullman,7.69,500g,SV
19/03/21,Pao Forma Pullman 500g Artesano Integral,Pao,Pullman,7.69,500g,SV
19/03/21,Pao Forma Seven Boys 450g,Pao,Seven Boys,4.59,450g,SV
19/03/21,Pão Forma Wickbold 450g Tradicional,Pão,Wickbold,5.56,450g,SV
19/03/21,Pão Forma Pullman 500g Artesano Pão Na Chapa,Pão,Pullman,9.39,500g,SV
19/03/21,Pão De Forma Gold Boys 400g,Pão,Gold Boys,3.99,400g,SV
19/03/21,Pao Forma Pullman 450g Sem Casca,Pao,Pullman,12.69,450g,SV
19/03/21,Pao Forma Pullman 320g Integral,Pao,Pullman,5.69,320g,SV
19/03/21,Pao Forma Pullman 320g Bco,Pao,Pullman,4.48,320g,SV
19/03/21,Pão Forma Seven Boys 450g Leite,Pão,Wickbold,5.19,450g,SV
19/03/21,Pao Forma Seven Boys 450g Integral,Pao,Seven Boys,6.19,450g,SV
19/03/21,Pao Pullman 500g Integ,Pao,Pullman,6.49,500g,SV
19/03/21,Pão Forma Wickbold 400g + Cálcio E Vitamina D,Pão,Wickbold,10.59,400g,SV
19/03/21,Pao Pullman 450g Forma Integral Sem Casca,Pao,Pullman,13.59,450g,SV
19/03/21,Pão Forma Caseiro Schar 240g Sem Glúten Sem Lactose,Pão,Schär,24.59,240g,SV
19/03/21,Pao Forma Schar 200g Sem Gluten Sem Lactose,Pao,Schär,12.67,200g,SV
