data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Tomate Longa Vida Bandeja 1kg,Tomate,Sem Marca,4.15,1kg,SV
19/03/21,Tomate Italiano Gourmet Mallmann 1kg,Tomate,Mallmann,8.98,1kg,SV
19/03/21,Tomate Italiano Chefinho Mallmann Bandeja 600g,Tomate,Mallmann,5.48,600g,SV
19/03/21,Tomate Italiano Redinha 1kg,Tomate,California,4.58,1kg,SV
19/03/21,Tomate Sweet Grape Mallmann Bandeja 180g,Tomate,Mallmann,4.85,180g,SV
19/03/21,Tomate Grape Mel Trebeschi 180g,Tomate,Trebeschi,2.98,180g,SV
19/03/21,Tomate Baby Kano 180g,Tomate,Kano,2.48,180g,SV
19/03/21,Molho Tomate Heinz 340g Sachê Tradicional,Molho,Heinz,2.19,340g,SV
19/03/21,Molho Tomate Predilecta 340g Sachê Tradicional,Molho,Predilecta,1.39,340g,SV
19/03/21,Molho Shoyu Satis 150ml Intenso,Molho,Satis,2.53,150ml,SV
19/03/21,Molho Tomate Sacciali 340g Manjerona,Molho,Sacciali,6.85,340g,SV
19/03/21,Molho Tomate Fugini 340g Sache Tradicional,Molho,Fugini,1.37,340g,SV
19/03/21,Molho Tomate Salsaretti 340g Sache Tradicional,Molho,Salsaretti,1.79,340g,SV
19/03/21,Tomate Pelado Pomarola 240g Cubos,Tomate,Pomarola,6.39,240g,SV
19/03/21,Molho Tomate Fugini 340g Sac Zero,Molho,Fugini,2.29,340g,SV
19/03/21,Tomate Pelado Ranieri 400g Lata,Tomate,Ranieri,8.98,400g,SV
19/03/21,Molho Tomate Stella D'Oro 340g Sc Tradicional,Molho,Stella D'Oro,1.38,340g,SV
19/03/21,Molho Tomate Aldeia Bela 340g Sachê Tradicional,Molho,Aldeia Bela,1.38,340g,SV
19/03/21,Molho Tomate Pomarola 340g Sache Tradicional,Molho,Pomarola,1.75,340g,SV
19/03/21,Molho Tomate Tarantella 340g Sache Tradicional,Molho,Tarantella,1.25,340g,SV
19/03/21,Tomate Pelado Pomarola 240g,Tomate,Pomarola,6.99,240g,SV
19/03/21,Molho Tomate Orgânico Fugini 340g Sachê Tradicional,Molho,Fugini,2.99,340g,SV
19/03/21,Tomate Pelado Mutti 400g,Tomate,Mutti,11.49,400g,SV
19/03/21,Molho Tomate Heinz Cogumelos 340g Sachê,Molho,Heinz,2.98,340g,SV
19/03/21,Tomate Seco Hemmer 110g,Tomate,Hemmer,15.39,110g,SV
19/03/21,Tomate Cereja De Cecco 400g Pomodorini,Tomate,De Cecco,12.98,400g,SV
19/03/21,Molho Tomate Heinz 340g Sachê Arrabiata,Molho,Heinz,2.98,340g,SV
19/03/21,Molho Tomate Salsaretti 340g Sac Azeitona,Molho,Salsaretti,3.69,340g,SV
19/03/21,Molho Shoyu Hinomoto 500ml Tradicional,Molho,Hinomoto,7.98,500ml,SV
19/03/21,Molho Tomate Pomarola 420g Vidro Tradicional,Molho,Pomarola,14.78,420g,SV
