0,base = ultimo periodo
fevereiro 2016,0.9
abril 2016,0.61
junho 2016,0.35
agosto 2016,0.44
outubro 2016,0.26
dezembro 2016,0.3
fevereiro 2017,0.33
abril 2017,0.14
junho 2017,-0.23
agosto 2017,0.19
outubro 2017,0.42
dezembro 2017,0.44
fevereiro 2018,0.32
abril 2018,0.22
junho 2018,1.26
agosto 2018,-0.09
outubro 2018,0.45
dezembro 2018,0.15
fevereiro 2019,0.43
abril 2019,0.57
junho 2019,0.01
agosto 2019,0.11
outubro 2019,0.1
dezembro 2019,1.15
fevereiro 2020,0.25
abril 2020,-0.31
junho 2020,0.26
agosto 2020,0.24
outubro 2020,0.86
