0,base = ultimo periodo
fevereiro 2016,80.90618460138604
março 2016,81.254081195172
abril 2016,81.74973109046255
maio 2016,82.38737899296815
junho 2016,82.67573481944353
julho 2016,83.10564864050464
agosto 2016,83.47131349452286
setembro 2016,83.53809054531847
outubro 2016,83.7552895807363
novembro 2016,83.90604910198164
dezembro 2016,84.15776724928757
janeiro 2017,84.47756676483486
fevereiro 2017,84.75634273515881
março 2017,84.96823359199671
abril 2017,85.0871891190255
maio 2017,85.35095940529447
junho 2017,85.1546521986623
julho 2017,85.35902336393909
agosto 2017,85.52120550833057
setembro 2017,85.6580394371439
outubro 2017,86.0178032027799
novembro 2017,86.25865305174769
dezembro 2017,86.63819112517537
janeiro 2018,86.88944187943838
fevereiro 2018,87.16748809345258
março 2018,87.24593883273668
abril 2018,87.4378798981687
maio 2018,87.78763141776139
junho 2018,88.89375557362519
julho 2018,89.18710496701814
agosto 2018,89.10683657254783
setembro 2018,89.53454938809607
outubro 2018,89.9374548603425
novembro 2018,89.7485862051358
dezembro 2018,89.88320908444351
janeiro 2019,90.17083535351372
fevereiro 2019,90.55856994553383
março 2019,91.23775922012533
abril 2019,91.75781444768003
maio 2019,91.87709960646201
junho 2019,91.88628731642265
julho 2019,92.06087126232386
agosto 2019,92.16213822071241
setembro 2019,92.1252733654241
outubro 2019,92.21739863878953
novembro 2019,92.68770737184737
dezembro 2019,93.75361600662362
janeiro 2020,93.95049860023752
fevereiro 2020,94.18537484673811
março 2020,94.25130460913081
abril 2020,93.95912556484251
maio 2020,93.60208088769612
junho 2020,93.84544629800413
julho 2020,94.18328990467695
agosto 2020,94.40932980044818
setembro 2020,95.01354951117105
outubro 2020,95.83066603696712
novembro 2020,96.68355896469612
dezembro 2020,97.9887870107195
janeiro 2021,98.2337589782463
fevereiro 2021,99.07856930545921
março 2021,100.0
