,Data,Homens,Mulheres,Total Casos Confirmados,Total Casos Descartados,Total Casos Recuperados,Total Casos Suspeitos,Total Casos em Tratamento,Total Óbitos
0,01/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
1,02/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
2,03/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
3,04/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
4,05/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
5,06/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
6,07/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
7,08/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
8,09/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
9,10/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
10,11/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
11,12/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
12,13/abril/2020,NA,NA,25,115,NA,141,NA,01
13,14/abril/2020,NA,NA,29,131,NA,153,NA,01
14,15/abril/2020,NA,NA,29,132,NA,167,NA,01
15,16/abril/2020,NA,NA,30,150,NA,160,NA,02
16,17/abril/2020,NA,NA,30,166,NA,157,NA,02
17,18/abril/2020,NA,NA,34,170,NA,161,NA,02
18,19/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
19,20/abril/2020,NA,NA,38,183,NA,152,NA,02
20,21/abril/2020,NA,NA,40,192,NA,175,NA,02
21,22/abril/2020,NA,NA,50,201,31,171,NA,02
22,23/abril/2020,05,07,62,223,38,176,21,03
23,24/abril/2020,03,05,70,227,39,180,NA,04
24,25/abril/2020,03,07,80,239,42,181,NA,05
25,26/abril/2020,Dois,NA,83,256,42,164,NA,05
26,27/abril/2020,NA,NA,90,257,44,177,NA,09
27,28/abril/2020,03,04,97,287,44,176,NA,10
28,29/abril/2020,03,15,115,289,45,191,60,10
29,30/abril/2020,NA,NA,118,296,51,195,57,10
30,31/abril/2020,NA,NA,NA,NA,NA,NA,NA,NA
31,01/maio/2020,02,12,132,310,61,211,60,11
32,02/maio/2020,NA,NA,135,337,61,202,63,11
33,03/maio/2020,Dois,Três,140,377,61,176,68,11
34,04/maio/2020,05,07,152,386,63,169,76,13
35,05/maio/2020,06,05,163,426,65,146,85,13
36,06/maio/2020,09,09,181,457,67,147,101,13
37,07/maio/2020,NA,NA,181,486,73,160,94,14
38,08/maio/2020,08,06,195,517,88,160,93,14
39,09/maio/2020,03,04,202,526,91,156,96,14
40,10/maio/2020,05,07,214,560,91,157,109,14
41,11/maio/2020,NA,NA,216,564,98,154,103,15
42,12/maio/2020,03,02,221,589,117,148,88,16
43,13/maio/2020,09,13,243,690,128,136,98,17
44,14/maio/2020,06,09,258,710,147,133,94,17
45,15/maio/2020,02,04,264,758,156,124,91,17
46,16/maio/2020,04,05,273,758,166,99,90,17
47,17/maio/2020,NA,NA,273,808,166,110,84,17
48,18/maio/2020,07,17,297,815,182,119,98,17
49,19/maio/2020,15,12,324,841,183,89,122,19
50,20/maio/2020,06,05,335,855,190,132,126,19
51,21/maio/2020,04,15,354,870,196,117,138,20
52,22/maio/2020,11,27,392,895,207,119,163,22
53,23/maio/2020,18,28,438,929,242,81,174,22
54,24/maio/2020,09,21,468,938,246,82,200,22
55,25/maio/2020,05,06,479,961,261,82,196,22
56,26/maio/2020,NA,11,491,964,274,76,195,23
57,27/maio/2020,02,05,498,997,279,100,195,24
58,28/maio/2020,09,05,512,1.009,308,105,179,25
59,29/maio/2020,12,09,534,1051,317,115,191,26
60,30/maio/2020,10,05,549,1534,337,158,196,29
61,31/maio/2020,08,07,564,1534,333,181,202,29
62,01/junho/2020,34,42,640,1536,363,230,248,29
63,02/junho/2020,07,18,665,1722,397,280,234,34
64,03/junho/2020,18,14,697,1759,421,283,238,38
65,04/junho/2020,06,08,711,1772,473,261,199,39
66,05/junho/2020,13,54,778,1840,499,300,240,40
67,06/junho/2020,65,NA,891,1863,544,281,307,40
68,07/junho/2020,02,37,930,1876,558,270,332,40
69,08/junho/2020,52,62,1.044,1.880,576,331,428,40
70,09/junho/2020,16,14,1.074,1.881,594,346,437,43
71,10/junho/2020,16,13,1.103,2.007,622,286,438,43
72,11/junho/2020,52,34,1.189,2.043,651,304,492,46
73,12/junho/2020,33,27,1.249,2.057,675,370,528,48
74,13/junho/2020,19,26,1.294,2.061,698,376,548,48
75,14/junho/2020,08,11,1.313,2.070,743,377,519,51
76,15/junho/2020,32,32,1.377,2.078,783,373,541,53
77,16/junho/2020,28,36,1.441,2.115,901,658,482,58
78,17/junho/2020,NA,NA,1.485,2.148,916,714,506,63
79,18/junho/2020,NA,NA,1.533,2.792,946,800,521,66
80,19/junho/2020,NA,NA,1.605,2.944,1.056,826,482,67
81,20/junho/2020,NA,NA,1.677,3.077,1.132,780,475,70
