Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
dezembro 2018,Legislativa,"35.564.630,00","35.264.630,00","4.690.763,45","31.114.055,21","1,97","4.150.574,79","6.164.590,80","30.428.401,49","2,00","4.836.228,51","685.653,72",06,2018,2018-12-20
dezembro 2018,Ação Legislativa,"35.564.630,00","35.264.630,00","4.690.763,45","31.114.055,21","1,97","4.150.574,79","6.164.590,80","30.428.401,49","2,00","4.836.228,51","685.653,72",06,2018,2018-12-20
dezembro 2018,Controle Externo,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU01 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU01 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Judiciária,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",06,2018,2018-12-20
dezembro 2018,Ação Judiciária,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Defesa do Interesse Público no Processo Judiciário,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU02 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU02 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Essencial à Justiça,"1.400.000,00","1.333.000,00","-2.693,95","1.299.753,76","0,08","33.246,24","325.389,70","1.222.253,53","0,08","110.746,47","77.500,23",06,2018,2018-12-20
dezembro 2018,Defesa da Ordem Jurídica,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Representação Judicial e Extrajudicial,"1.400.000,00","1.333.000,00","-2.693,95","1.299.753,76","0,08","33.246,24","325.389,70","1.222.253,53","0,08","110.746,47","77.500,23",06,2018,2018-12-20
dezembro 2018,FU03 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU03 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
