Data,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo
dezembro 2016,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.457.208.500,00","1.457.208.500,00","247.040.761,82","16,95","1.383.711.124,17","94,96","73.497.375,83",06,2016,2016-12-20
dezembro 2016,RECEITAS CORRENTES,"1.423.532.800,00","1.423.532.800,00","245.042.134,63","17,21","1.371.556.224,46","96,35","51.976.575,54",06,2016,2016-12-20
dezembro 2016,RECEITA TRIBUTÁRIA,"356.815.000,00","356.815.000,00","58.985.655,92","16,53","332.663.845,61","93,23","24.151.154,39",06,2016,2016-12-20
dezembro 2016,Impostos,"323.600.000,00","323.600.000,00","55.374.237,22","17,11","304.011.901,81","93,95","19.588.098,19",06,2016,2016-12-20
dezembro 2016,Taxas,"31.665.000,00","31.665.000,00","3.343.461,90","10,56","27.541.731,06","86,98","4.123.268,94",06,2016,2016-12-20
dezembro 2016,Contribuição de Melhoria,"1.550.000,00","1.550.000,00","267.956,80","17,29","1.110.212,74","71,63","439.787,26",06,2016,2016-12-20
dezembro 2016,RECEITA DE CONTRIBUIÇÕES,"16.927.000,00","16.927.000,00","4.082.985,29","24,12","17.445.926,92","103,07","-518.926,92",06,2016,2016-12-20
dezembro 2016,Contribuições Sociais,"16.927.000,00","16.927.000,00","4.082.985,29","24,12","17.445.926,92","103,07","-518.926,92",06,2016,2016-12-20
dezembro 2016,Contribuição de Intervenção no Domínio Econômico,,,,,,,,06,2016,2016-12-20
dezembro 2016,Contribuição de Iluminação Pública,,,,,,,,06,2016,2016-12-20
dezembro 2016,RECEITA PATRIMONIAL,"34.249.000,00","34.249.000,00","5.635.758,82","16,46","37.585.064,13","109,74","-3.336.064,13",06,2016,2016-12-20
dezembro 2016,Receitas Imobiliárias,"1.270.100,00","1.270.100,00","359.312,92","28,29","2.109.453,91","166,09","-839.353,91",06,2016,2016-12-20
dezembro 2016,Receitas de Valores Mobiliários,"32.978.900,00","32.978.900,00","5.230.420,84","15,86","35.271.814,41","106,95","-2.292.914,41",06,2016,2016-12-20
dezembro 2016,Receita de Concessões e Permissões,,,"46.025,06",,"203.795,81",,"-203.795,81",06,2016,2016-12-20
dezembro 2016,Compensações Financeiras,,,,,,,,06,2016,2016-12-20
dezembro 2016,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,06,2016,2016-12-20
dezembro 2016,Receita da Cessão de Direitos,,,,,,,,06,2016,2016-12-20
dezembro 2016,Outras Receitas Patrimoniais,,,,,,,,06,2016,2016-12-20
dezembro 2016,RECEITA AGROPECUÁRIA,"0,00","0,00","0,00",,"0,00",,"0,00",06,2016,2016-12-20
dezembro 2016,Receita da Produção Vegetal,,,,,,,,06,2016,2016-12-20
dezembro 2016,Receita da Produção Animal e Derivados,,,,,,,,06,2016,2016-12-20
dezembro 2016,Outras Receitas Agropecuárias,,,,,,,,06,2016,2016-12-20
dezembro 2016,RECEITA INDUSTRIAL,"0,00","0,00","0,00",,"0,00",,"0,00",06,2016,2016-12-20
dezembro 2016,Receita da Indústria Extrativa Mineral,,,,,,,,06,2016,2016-12-20
dezembro 2016,Receita da Indústria de Transformação,,,,,,,,06,2016,2016-12-20
dezembro 2016,Receita da Indústria de Construção,,,,,,,,06,2016,2016-12-20
dezembro 2016,Outras Receitas Industriais,,,,,,,,06,2016,2016-12-20
dezembro 2016,RECEITA DE SERVIÇOS,"193.131.800,00","193.131.800,00","35.162.998,66","18,21","199.969.532,44","103,54","-6.837.732,44",06,2016,2016-12-20
dezembro 2016,TRANSFERÊNCIAS CORRENTES,"735.780.000,00","735.780.000,00","128.440.199,37","17,46","713.831.018,59","97,02","21.948.981,41",06,2016,2016-12-20
dezembro 2016,Transferências Intergovernamentais,"716.364.000,00","716.364.000,00","123.587.663,88","17,25","693.179.601,22","96,76","23.184.398,78",06,2016,2016-12-20
dezembro 2016,Transferências de Instituições Privadas,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências do Exterior,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências de Pessoas,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências de Convênios,"19.416.000,00","19.416.000,00","4.852.535,49","24,99","20.651.417,37","106,36","-1.235.417,37",06,2016,2016-12-20
dezembro 2016,Transferências para o Combate à Fome,,,,,,,,06,2016,2016-12-20
dezembro 2016,OUTRAS RECEITAS CORRENTES,"86.630.000,00","86.630.000,00","12.734.536,57","14,70","70.060.836,77","80,87","16.569.163,23",06,2016,2016-12-20
dezembro 2016,Multas e Juros de Mora,"17.371.000,00","17.371.000,00","3.317.100,16","19,10","16.128.028,94","92,84","1.242.971,06",06,2016,2016-12-20
dezembro 2016,Indenizações e Restituições,"5.853.000,00","5.853.000,00","1.151.465,27","19,67","8.021.612,40","137,05","-2.168.612,40",06,2016,2016-12-20
dezembro 2016,Receita da Dívida Ativa,"54.587.000,00","54.587.000,00","5.076.539,89","9,30","35.441.510,95","64,93","19.145.489,05",06,2016,2016-12-20
dezembro 2016,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,06,2016,2016-12-20
dezembro 2016,Receitas Correntes Diversas,"8.819.000,00","8.819.000,00","3.189.431,25","36,17","10.469.684,48","118,72","-1.650.684,48",06,2016,2016-12-20
dezembro 2016,RECEITAS DE CAPITAL,"33.675.700,00","33.675.700,00","1.998.627,19","5,93","12.154.899,71","36,09","21.520.800,29",06,2016,2016-12-20
dezembro 2016,OPERAÇÕES DE CRÉDITO,"10.000.000,00","10.000.000,00","0,00","0,00","8.603.422,44","86,03","1.396.577,56",06,2016,2016-12-20
dezembro 2016,Operações de Crédito Internas,"10.000.000,00","10.000.000,00",,"0,00","8.603.422,44","86,03","1.396.577,56",06,2016,2016-12-20
dezembro 2016,Operações de Crédito Externas,,,,,,,,06,2016,2016-12-20
